### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
ERI,Biomass,13300,206
ERI,Nuclear,10608,0
ESH,Coal,10551,206
ESH,Gas,7732,117
ESH,Oil,11135,117
ESH,Solar,3412,0
ESH,Wind,3412,0
ESH,Waste,8513,117
ESH,Hydro,3412,0
ESH,Geothermal,3412,0
ESH,Biomass,13300,206
ESH,Nuclear,10608,0
ESP,Coal,10551,206
ESP,Gas,7732,117
ESP,Oil,11135,117
ESP,Solar,3412,0
ESP,Wind,3412,0
ESP,Waste,8513,117
ESP,Hydro,3412,0
ESP,Geothermal,3412,0
ESP,Biomass,13300,206
ESP,Nuclear,10608,0
EST,Coal,10551,206
EST,Gas,7732,117
EST,Oil,11135,117
EST,Solar,3412,0
EST,Wind,3412,0
EST,Waste,8513,117
EST,Hydro,3412,0
EST,Geothermal,3412,0
EST,Biomass,13300,206
EST,Nuclear,10608,0
ETH,Coal,10551,206
ETH,Gas,7732,117
ETH,Oil,11135,117
ETH,Solar,3412,0
ETH,Wind,3412,0
ETH,Waste,8513,117
ETH,Hydro,3412,0
ETH,Geothermal,3412,0
ETH,Biomass,13300,206
ETH,Nuclear,10608,0
FIN,Coal,10551,206
FIN,Gas,7732,117
FIN,Oil,11135,117
FIN,Solar,3412,0
FIN,Wind,3412,0
FIN,Waste,8513,117
FIN,Hydro,3412,0
FIN,Geothermal,3412,0
FIN,Biomass,13300,206
FIN,Nuclear,10608,0
FJI,Coal,10551,206
FJI,Gas,7732,117
FJI,Oil,11135,117
FJI,Solar,3412,0
FJI,Wind,3412,0
FJI,Waste,8513,117
FJI,Hydro,3412,0
FJI,Geothermal,3412,0
FJI,Biomass,13300,206
FJI,Nuclear,10608,0
FRA,Coal,10551,206
FRA,Gas,7732,117
FRA,Oil,11135,117
FRA,Solar,3412,0
FRA,Wind,3412,0
FRA,Waste,8513,117
