### This data is primarily pulled from https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf ,,,,,,
"### There were often multiple options for representative plants by fuel (eg advanced nuclear vs small modular reactor) so one was chosen arbitrarily. All values are currently for the US, but nation specific values will be added soon",,,,,,
"### Fuel prices for Biomass and Nuclear are necessary, but did not find them yet",,,,,,
country,primary_fuel,capital_cost_per_kw,fixed_om_per_kw_year,variable_om_per_mwh,discount_rate,fuel_price_per_btu
BHR,Biomass,4097,125.72,4.83,0.06,0
BIH,Coal,3676,40.58,4.5,0.06,3.21E-06
BIH,Gas,958,12.2,1.87,0.06,1.94E-06
BIH,Oil,1810,35.16,5.69,0.06,1.24E-05
BIH,Solar,1313,15.25,0,0.06,0
BIH,Wind,1265,26.34,0,0.06,0
BIH,Waste,1563,20.1,6.2,0.06,0
BIH,Hydro,5316,29.86,0,0.06,0
BIH,Geothermal,2521,128.544,1.16,0.06,0
BIH,CSP,7221,85.4,0,0.06,0
BIH,Nuclear,6041,121.64,2.37,0.06,0
BIH,Biomass,4097,125.72,4.83,0.06,0
BLR,Coal,3676,40.58,4.5,0.06,3.21E-06
BLR,Gas,958,12.2,1.87,0.06,1.94E-06
BLR,Oil,1810,35.16,5.69,0.06,1.24E-05
BLR,Solar,1313,15.25,0,0.06,0
BLR,Wind,1265,26.34,0,0.06,0
BLR,Waste,1563,20.1,6.2,0.06,0
BLR,Hydro,5316,29.86,0,0.06,0
BLR,Geothermal,2521,128.544,1.16,0.06,0
BLR,CSP,7221,85.4,0,0.06,0
BLR,Nuclear,6041,121.64,2.37,0.06,0
BLR,Biomass,4097,125.72,4.83,0.06,0
BOL,Coal,3676,40.58,4.5,0.06,3.21E-06
BOL,Gas,958,12.2,1.87,0.06,1.94E-06
BOL,Oil,1810,35.16,5.69,0.06,1.24E-05
BOL,Solar,1313,15.25,0,0.06,0
BOL,Wind,1265,26.34,0,0.06,0
BOL,Waste,1563,20.1,6.2,0.06,0
BOL,Hydro,5316,29.86,0,0.06,0
BOL,Geothermal,2521,128.544,1.16,0.06,0
BOL,CSP,7221,85.4,0,0.06,0
BOL,Nuclear,6041,121.64,2.37,0.06,0
BOL,Biomass,4097,125.72,4.83,0.06,0
BRA,Coal,3676,40.58,4.5,0.06,3.21E-06
BRA,Gas,958,12.2,1.87,0.06,1.94E-06
BRA,Oil,1810,35.16,5.69,0.06,1.24E-05
BRA,Solar,1313,15.25,0,0.06,0
BRA,Wind,1265,26.34,0,0.06,0
BRA,Waste,1563,20.1,6.2,0.06,0
BRA,Hydro,5316,29.86,0,0.06,0
BRA,Geothermal,2521,128.544,1.16,0.06,0
BRA,CSP,7221,85.4,0,0.06,0
BRA,Nuclear,6041,121.64,2.37,0.06,0
BRA,Biomass,4097,125.72,4.83,0.06,0
BRN,Coal,3676,40.58,4.5,0.06,3.21E-06
BRN,Gas,958,12.2,1.87,0.06,1.94E-06
BRN,Oil,1810,35.16,5.69,0.06,1.24E-05
BRN,Solar,1313,15.25,0,0.06,0
BRN,Wind,1265,26.34,0,0.06,0
BRN,Waste,1563,20.1,6.2,0.06,0
BRN,Hydro,5316,29.86,0,0.06,0
BRN,Geothermal,2521,128.544,1.16,0.06,0
BRN,CSP,7221,85.4,0,0.06,0
BRN,Nuclear,6041,121.64,2.37,0.06,0
BRN,Biomass,4097,125.72,4.83,0.06,0
BTN,Coal,3676,40.58,4.5,0.06,3.21E-06
BTN,Gas,958,12.2,1.87,0.06,1.94E-06
BTN,Oil,1810,35.16,5.69,0.06,1.24E-05
BTN,Solar,1313,15.25,0,0.06,0
BTN,Wind,1265,26.34,0,0.06,0
BTN,Waste,1563,20.1,6.2,0.06,0
BTN,Hydro,5316,29.86,0,0.06,0
BTN,Geothermal,2521,128.544,1.16,0.06,0
BTN,CSP,7221,85.4,0,0.06,0
BTN,Nuclear,6041,121.64,2.37,0.06,0
BTN,Biomass,4097,125.72,4.83,0.06,0
BWA,Coal,3676,40.58,4.5,0.06,3.21E-06
BWA,Gas,958,12.2,1.87,0.06,1.94E-06
BWA,Oil,1810,35.16,5.69,0.06,1.24E-05
BWA,Solar,1313,15.25,0,0.06,0
BWA,Wind,1265,26.34,0,0.06,0
BWA,Waste,1563,20.1,6.2,0.06,0
BWA,Hydro,5316,29.86,0,0.06,0
BWA,Geothermal,2521,128.544,1.16,0.06,0
BWA,CSP,7221,85.4,0,0.06,0
BWA,Nuclear,6041,121.64,2.37,0.06,0
BWA,Biomass,4097,125.72,4.83,0.06,0
CAF,Coal,3676,40.58,4.5,0.06,3.21E-06
CAF,Gas,958,12.2,1.87,0.06,1.94E-06
CAF,Oil,1810,35.16,5.69,0.06,1.24E-05
CAF,Solar,1313,15.25,0,0.06,0
CAF,Wind,1265,26.34,0,0.06,0
CAF,Waste,1563,20.1,6.2,0.06,0
CAF,Hydro,5316,29.86,0,0.06,0
CAF,Geothermal,2521,128.544,1.16,0.06,0
CAF,CSP,7221,85.4,0,0.06,0
CAF,Nuclear,6041,121.64,2.37,0.06,0
CAF,Biomass,4097,125.72,4.83,0.06,0
CAN,Coal,3676,40.58,4.5,0.06,3.21E-06
CAN,Gas,958,12.2,1.87,0.06,1.94E-06
CAN,Oil,1810,35.16,5.69,0.06,1.24E-05
CAN,Solar,1313,15.25,0,0.06,0
CAN,Wind,1265,26.34,0,0.06,0
CAN,Waste,1563,20.1,6.2,0.06,0
CAN,Hydro,5316,29.86,0,0.06,0
CAN,Geothermal,2521,128.544,1.16,0.06,0
CAN,CSP,7221,85.4,0,0.06,0
CAN,Nuclear,6041,121.64,2.37,0.06,0
CAN,Biomass,4097,125.72,4.83,0.06,0
CHE,Coal,3676,40.58,4.5,0.06,3.21E-06
CHE,Gas,958,12.2,1.87,0.06,1.94E-06
CHE,Oil,1810,35.16,5.69,0.06,1.24E-05
CHE,Solar,1313,15.25,0,0.06,0
CHE,Wind,1265,26.34,0,0.06,0
CHE,Waste,1563,20.1,6.2,0.06,0
CHE,Hydro,5316,29.86,0,0.06,0
CHE,Geothermal,2521,128.544,1.16,0.06,0
CHE,CSP,7221,85.4,0,0.06,0
CHE,Nuclear,6041,121.64,2.37,0.06,0
CHE,Biomass,4097,125.72,4.83,0.06,0
CHL,Coal,3676,40.58,4.5,0.06,3.21E-06
CHL,Gas,958,12.2,1.87,0.06,1.94E-06
CHL,Oil,1810,35.16,5.69,0.06,1.24E-05
CHL,Solar,1313,15.25,0,0.06,0
CHL,Wind,1265,26.34,0,0.06,0
CHL,Waste,1563,20.1,6.2,0.06,0
CHL,Hydro,5316,29.86,0,0.06,0
CHL,Geothermal,2521,128.544,1.16,0.06,0
CHL,CSP,7221,85.4,0,0.06,0
CHL,Nuclear,6041,121.64,2.37,0.06,0
CHL,Biomass,4097,125.72,4.83,0.06,0
CHN,Coal,3676,40.58,4.5,0.06,3.21E-06
CHN,Gas,958,12.2,1.87,0.06,1.94E-06
CHN,Oil,1810,35.16,5.69,0.06,1.24E-05
CHN,Solar,1313,15.25,0,0.06,0
CHN,Wind,1265,26.34,0,0.06,0
CHN,Waste,1563,20.1,6.2,0.06,0
CHN,Hydro,5316,29.86,0,0.06,0
CHN,Geothermal,2521,128.544,1.16,0.06,0
CHN,CSP,7221,85.4,0,0.06,0
CHN,Nuclear,6041,121.64,2.37,0.06,0
CHN,Biomass,4097,125.72,4.83,0.06,0
CIV,Coal,3676,40.58,4.5,0.06,3.21E-06
CIV,Gas,958,12.2,1.87,0.06,1.94E-06
CIV,Oil,1810,35.16,5.69,0.06,1.24E-05
CIV,Solar,1313,15.25,0,0.06,0
CIV,Wind,1265,26.34,0,0.06,0
CIV,Waste,1563,20.1,6.2,0.06,0
CIV,Hydro,5316,29.86,0,0.06,0
CIV,Geothermal,2521,128.544,1.16,0.06,0
CIV,CSP,7221,85.4,0,0.06,0
CIV,Nuclear,6041,121.64,2.37,0.06,0
CIV,Biomass,4097,125.72,4.83,0.06,0
CMR,Coal,3676,40.58,4.5,0.06,3.21E-06
CMR,Gas,958,12.2,1.87,0.06,1.94E-06
CMR,Oil,1810,35.16,5.69,0.06,1.24E-05
CMR,Solar,1313,15.25,0,0.06,0
CMR,Wind,1265,26.34,0,0.06,0
CMR,Waste,1563,20.1,6.2,0.06,0
CMR,Hydro,5316,29.86,0,0.06,0
CMR,Geothermal,2521,128.544,1.16,0.06,0
CMR,CSP,7221,85.4,0,0.06,0
CMR,Nuclear,6041,121.64,2.37,0.06,0
CMR,Biomass,4097,125.72,4.83,0.06,0
COD,Coal,3676,40.58,4.5,0.06,3.21E-06
COD,Gas,958,12.2,1.87,0.06,1.94E-06
COD,Oil,1810,35.16,5.69,0.06,1.24E-05
COD,Solar,1313,15.25,0,0.06,0
COD,Wind,1265,26.34,0,0.06,0
COD,Waste,1563,20.1,6.2,0.06,0
COD,Hydro,5316,29.86,0,0.06,0
COD,Geothermal,2521,128.544,1.16,0.06,0
COD,CSP,7221,85.4,0,0.06,0
COD,Nuclear,6041,121.64,2.37,0.06,0
COD,Biomass,4097,125.72,4.83,0.06,0
COG,Coal,3676,40.58,4.5,0.06,3.21E-06
COG,Gas,958,12.2,1.87,0.06,1.94E-06
COG,Oil,1810,35.16,5.69,0.06,1.24E-05
COG,Solar,1313,15.25,0,0.06,0
COG,Wind,1265,26.34,0,0.06,0
COG,Waste,1563,20.1,6.2,0.06,0
COG,Hydro,5316,29.86,0,0.06,0
COG,Geothermal,2521,128.544,1.16,0.06,0
COG,CSP,7221,85.4,0,0.06,0
COG,Nuclear,6041,121.64,2.37,0.06,0
COG,Biomass,4097,125.72,4.83,0.06,0
COL,Coal,3676,40.58,4.5,0.06,3.21E-06
COL,Gas,958,12.2,1.87,0.06,1.94E-06
COL,Oil,1810,35.16,5.69,0.06,1.24E-05
COL,Solar,1313,15.25,0,0.06,0
COL,Wind,1265,26.34,0,0.06,0
COL,Waste,1563,20.1,6.2,0.06,0
COL,Hydro,5316,29.86,0,0.06,0
COL,Geothermal,2521,128.544,1.16,0.06,0
COL,CSP,7221,85.4,0,0.06,0
COL,Nuclear,6041,121.64,2.37,0.06,0
COL,Biomass,4097,125.72,4.83,0.06,0
CPV,Coal,3676,40.58,4.5,0.06,3.21E-06
CPV,Gas,958,12.2,1.87,0.06,1.94E-06
CPV,Oil,1810,35.16,5.69,0.06,1.24E-05
CPV,Solar,1313,15.25,0,0.06,0
CPV,Wind,1265,26.34,0,0.06,0
CPV,Waste,1563,20.1,6.2,0.06,0
CPV,Hydro,5316,29.86,0,0.06,0
CPV,Geothermal,2521,128.544,1.16,0.06,0
CPV,CSP,7221,85.4,0,0.06,0
CPV,Nuclear,6041,121.64,2.37,0.06,0
CPV,Biomass,4097,125.72,4.83,0.06,0
CRI,Coal,3676,40.58,4.5,0.06,3.21E-06
CRI,Gas,958,12.2,1.87,0.06,1.94E-06
CRI,Oil,1810,35.16,5.69,0.06,1.24E-05
CRI,Solar,1313,15.25,0,0.06,0
CRI,Wind,1265,26.34,0,0.06,0
CRI,Waste,1563,20.1,6.2,0.06,0
CRI,Hydro,5316,29.86,0,0.06,0
CRI,Geothermal,2521,128.544,1.16,0.06,0
CRI,CSP,7221,85.4,0,0.06,0
CRI,Nuclear,6041,121.64,2.37,0.06,0
CRI,Biomass,4097,125.72,4.83,0.06,0
CUB,Coal,3676,40.58,4.5,0.06,3.21E-06
CUB,Gas,958,12.2,1.87,0.06,1.94E-06
CUB,Oil,1810,35.16,5.69,0.06,1.24E-05
CUB,Solar,1313,15.25,0,0.06,0
CUB,Wind,1265,26.34,0,0.06,0
CUB,Waste,1563,20.1,6.2,0.06,0
CUB,Hydro,5316,29.86,0,0.06,0
CUB,Geothermal,2521,128.544,1.16,0.06,0
CUB,CSP,7221,85.4,0,0.06,0
CUB,Nuclear,6041,121.64,2.37,0.06,0
CUB,Biomass,4097,125.72,4.83,0.06,0
CYP,Coal,3676,40.58,4.5,0.06,3.21E-06
CYP,Gas,958,12.2,1.87,0.06,1.94E-06
CYP,Oil,1810,35.16,5.69,0.06,1.24E-05
CYP,Solar,1313,15.25,0,0.06,0
CYP,Wind,1265,26.34,0,0.06,0
CYP,Waste,1563,20.1,6.2,0.06,0
CYP,Hydro,5316,29.86,0,0.06,0
CYP,Geothermal,2521,128.544,1.16,0.06,0
CYP,CSP,7221,85.4,0,0.06,0
CYP,Nuclear,6041,121.64,2.37,0.06,0
CYP,Biomass,4097,125.72,4.83,0.06,0
CZE,Coal,3676,40.58,4.5,0.06,3.21E-06
