"country","country_long","name","latitude","longitude","primary_fuel","state","nerc"
"USA","United States of America","UC Davis South Campus",38.55,-121.75,"Solar",NA,NA
"USA","United States of America","UCI Facilities Management Central Plant",33.6481,-117.8467,"Gas","CA","WECC"
"USA","United States of America","UCI Fuel Cell",33.788,-117.8901,"Gas","CA","WECC"
"USA","United States of America","UCLA So Campus Cogen Project",34.0692,-118.4439,"Gas","CA","WECC"
"USA","United States of America","UCONN Cogen Facility",41.8092,-72.2542,"Gas","CT","NPCC"
"USA","United States of America","UCSD Fuel Cell Plant",32.8772,-117.2347,"Biomass","CA","WECC"
"USA","United States of America","UDR Glastonbury Fuel Cell",41.717,-72.5361,"Gas","CT","NPCC"
"USA","United States of America","UI RCP Bridgeport Seaside",41.1576,-73.2081,"Gas","CT","NPCC"
"USA","United States of America","UI RCP New Haven Fuel Cell",41.2888,-72.8986,"Gas","CT","NPCC"
"USA","United States of America","UI RCP Woodbridge FC",41.358,-73.0078,"Gas","CT","NPCC"
"USA","United States of America","UMASS",42.3913,-72.5325,"Solar",NA,NA
"USA","United States of America","UMCP CHP Plant",38.9858,-76.9355,"Gas","MD","RFC"
"USA","United States of America","UMES (MD) - Princess Anne",38.2026,-75.6764,"Solar",NA,NA
"USA","United States of America","UMM Wind Turbine",45.5897,-95.877,"Wind",NA,NA
"USA","United States of America","UMMS at Pocomoke",38.0981,-75.6111,"Solar",NA,NA
"USA","United States of America","UNC-CH LFG Facility",35.9386,-79.0592,"Waste",NA,NA
"USA","United States of America","UNH 7.9 MW Plant",43.1367,-70.9361,"Waste","NH","NPCC"
"USA","United States of America","US Borax",35.0329,-117.701,"Gas","CA","WECC"
"USA","United States of America","US Foods Solar",40.5344,-74.2752,"Solar",NA,NA
"USA","United States of America","US GSA Heating and Transmission",38.8857,-77.0284,"Gas","DC","RFC"
"USA","United States of America","US Gypsum Oakfield",43.0647,-78.2972,"Gas","NY","NPCC"
"USA","United States of America","US Magnesium",40.9133,-112.7339,"Gas","UT","WECC"
"USA","United States of America","US-TOPCO (Soccer Center)",34.6607,-118.0812,"Solar",NA,NA
"USA","United States of America","USG 1",32.7928,-115.8573,"Solar",NA,NA
"USA","United States of America","USG 2",32.7904,-115.8632,"Solar",NA,NA
"USA","United States of America","USPS PV",33.9779,-118.2587,"Solar",NA,NA
"USA","United States of America","UTS SJ1 LLC",37.4331,-121.9419,"Gas",NA,NA
"USA","United States of America","UW Madison Charter Street Plant",43.07,-89.4006,"Gas","WI","MRO"
"USA","United States of America","Ubly",43.7217,-82.9388,"Oil","MI","RFC"
"USA","United States of America","Uilk Wind LLC",43.9811,-96.4269,"Wind",NA,NA
"USA","United States of America","Uintah",40.5381,-110.0661,"Hydro",NA,NA
"USA","United States of America","Unalakleet",63.8768,-160.7904,"Oil","AK","ASCC"
"USA","United States of America","Unalaska Power Module",53.864,-166.5126,"Oil","AK","ASCC"
"USA","United States of America","Union Carbide Seadrift Cogen",28.5105,-96.7706,"Gas","TX","TRE"
