name,class,attribute,value
ARG_Hyd_BENJAMINREOLIN77,Generator,Longitude,-64.3233
ARG_Hyd_CABRACORRAL82,Generator,Latitude,-25.2712
ARG_Hyd_CABRACORRAL82,Generator,Longitude,-65.3298
ARG_Hyd_CACHEUTANUEVA83,Generator,Latitude,-33.0291
ARG_Hyd_CACHEUTANUEVA83,Generator,Longitude,-69.1109
ARG_Hyd_CASADEPIEDRA89,Generator,Latitude,-38.2143
ARG_Hyd_CASADEPIEDRA89,Generator,Longitude,-67.1908
ARG_Hyd_CASSAFFOUSTH90,Generator,Latitude,-31.3992
ARG_Hyd_CASSAFFOUSTH90,Generator,Longitude,-64.2006
ARG_Hyd_CHLOSCARACOLE105,Generator,Latitude,-31.5192
ARG_Hyd_CHLOSCARACOLE105,Generator,Longitude,-68.9814
ARG_Hyd_CIPOLLETTI108,Generator,Latitude,-38.9121
ARG_Hyd_CIPOLLETTI108,Generator,Longitude,-67.9427
ARG_Hyd_CUESTADELVIEN189,Generator,Latitude,-30.1833
ARG_Hyd_CUESTADELVIEN189,Generator,Longitude,-69.0667
ARG_Hyd_ELCADILLAL193,Generator,Latitude,-26.6156
ARG_Hyd_ELCADILLAL193,Generator,Longitude,-65.1929
ARG_Hyd_ELCARRIZAL194,Generator,Latitude,-33.2993
ARG_Hyd_ELCARRIZAL194,Generator,Longitude,-68.7199
ARG_Hyd_ELCHOCON195,Generator,Latitude,-39.2577
ARG_Hyd_ELCHOCON195,Generator,Longitude,-68.7483
ARG_Hyd_ELTIGRE196,Generator,Latitude,-34.61
ARG_Hyd_ELTIGRE196,Generator,Longitude,-68.6136
ARG_Hyd_ELTUNAL197,Generator,Latitude,-25.2323
ARG_Hyd_ELTUNAL197,Generator,Longitude,-64.4762
ARG_Hyd_ESCABA199,Generator,Latitude,-27.6589
ARG_Hyd_ESCABA199,Generator,Longitude,-65.7633
ARG_Hyd_FITZSIMON203,Generator,Latitude,-32.1784
ARG_Hyd_FITZSIMON203,Generator,Longitude,-64.4207
ARG_Hyd_FLORENTINOAMEG204,Generator,Latitude,-43.6996
ARG_Hyd_FLORENTINOAMEG204,Generator,Longitude,-66.4815
ARG_Hyd_FUTALEUFU205,Generator,Latitude,-43.1288
ARG_Hyd_FUTALEUFU205,Generator,Longitude,-71.63
ARG_Hyd_GENERALSANMAR209,Generator,Latitude,-33.0449
ARG_Hyd_GENERALSANMAR209,Generator,Longitude,-68.9219
ARG_Hyd_GUILLERMOCESPE212,Generator,Latitude,-39.56
ARG_Hyd_GUILLERMOCESPE212,Generator,Longitude,-65.6817
ARG_Hyd_H_PICHIPICUN213,Generator,Latitude,-40.012
ARG_Hyd_H_PICHIPICUN213,Generator,Longitude,-69.9918
ARG_Hyd_JULIANROMERO217,Generator,Latitude,-38.8367
ARG_Hyd_JULIANROMERO217,Generator,Longitude,-68.038
ARG_Hyd_LASMADERAS223,Generator,Latitude,-24.4438
ARG_Hyd_LASMADERAS223,Generator,Longitude,-65.2203
ARG_Hyd_LAVIA222,Generator,Latitude,-31.8708
ARG_Hyd_LAVIA222,Generator,Longitude,-65.0349
ARG_Hyd_LOSCORONELES224,Generator,Latitude,-34.6
ARG_Hyd_LOSCORONELES224,Generator,Longitude,-68.5285
ARG_Hyd_LOSMOLINOSI225,Generator,Latitude,-31.838
ARG_Hyd_LOSMOLINOSI225,Generator,Longitude,-64.4452
ARG_Hyd_LOSMOLINOSII226,Generator,Latitude,-31.838
ARG_Hyd_LOSMOLINOSII226,Generator,Longitude,-64.4452
ARG_Hyd_LOSQUIROGA227,Generator,Latitude,-27.6509
ARG_Hyd_LOSQUIROGA227,Generator,Longitude,-64.3618
ARG_Hyd_LOSREYUNOS228,Generator,Latitude,-34.6028
ARG_Hyd_LOSREYUNOS228,Generator,Longitude,-68.6383
ARG_Hyd_NIHUILI237,Generator,Latitude,-34.9907
ARG_Hyd_NIHUILI237,Generator,Longitude,-68.6237
ARG_Hyd_NIHUILII238,Generator,Latitude,-34.9039
ARG_Hyd_NIHUILII238,Generator,Longitude,-68.6177
ARG_Hyd_NIHUILIII239,Generator,Latitude,-34.8821
ARG_Hyd_NIHUILIII239,Generator,Longitude,-68.576
ARG_Hyd_NIHUILIV240,Generator,Latitude,-34.833
ARG_Hyd_NIHUILIV240,Generator,Longitude,-68.5168
ARG_Hyd_PIEDRADELAGUI258,Generator,Latitude,-31.6651
ARG_Hyd_PIEDRADELAGUI258,Generator,Longitude,-63.8314
ARG_Hyd_PIEDRASMORAS259,Generator,Latitude,-32.1675
ARG_Hyd_PIEDRASMORAS259,Generator,Longitude,-64.2438
ARG_Hyd_PLANICIEBANDER262,Generator,Latitude,-28.5339
ARG_Hyd_PLANICIEBANDER262,Generator,Longitude,-65.7997
ARG_Hyd_PUEBLOVIEJO265,Generator,Latitude,-27.1149
ARG_Hyd_PUEBLOVIEJO265,Generator,Longitude,-65.7523
ARG_Hyd_QUEBRADADEULL269,Generator,Latitude,-31.2567
ARG_Hyd_QUEBRADADEULL269,Generator,Longitude,-61.5203
ARG_Hyd_RIOCORRALITO270,Generator,Latitude,-24.983
ARG_Hyd_RIOCORRALITO270,Generator,Longitude,-65.686
ARG_Hyd_RIOGRANDE272,Generator,Latitude,-53.7862
ARG_Hyd_RIOGRANDE272,Generator,Longitude,-67.7222
ARG_Hyd_RIOHONDO273,Generator,Latitude,-27.5225
ARG_Hyd_RIOHONDO273,Generator,Longitude,-64.8861
ARG_Hyd_SALTOANDERSEN274,Generator,Latitude,-38.8244
ARG_Hyd_SALTOANDERSEN274,Generator,Longitude,-64.8296
ARG_Hyd_SALTOGRANDEM275,Generator,Latitude,-31.3891
ARG_Hyd_SALTOGRANDEM275,Generator,Longitude,-68.6752
ARG_Hyd_SANROQUE280,Generator,Latitude,-31.3533
ARG_Hyd_SANROQUE280,Generator,Longitude,-64.3938
ARG_Hyd_ULLUM288,Generator,Latitude,-31.4557
ARG_Hyd_ULLUM288,Generator,Longitude,-68.7556
ARG_Hyd_URUGUAI289,Generator,Latitude,-25.8766
ARG_Hyd_URUGUAI289,Generator,Longitude,-54.5687
ARG_Hyd_YACYRETA294,Generator,Latitude,-27.4827
ARG_Hyd_YACYRETA294,Generator,Longitude,-56.7397
ARG_Nuc_ATUCHAI73,Generator,Latitude,-33.967
ARG_Nuc_ATUCHAI73,Generator,Longitude,-59.2059
ARG_Nuc_ATUCHAII74,Generator,Latitude,-33.9674
ARG_Nuc_ATUCHAII74,Generator,Longitude,-59.2045
ARG_Nuc_EMBALSE198,Generator,Latitude,-32.2316
ARG_Nuc_EMBALSE198,Generator,Longitude,-64.4422
ARG_Oil_ALMIRANTEBROWN68,Generator,Latitude,-34.8386
ARG_Oil_ALMIRANTEBROWN68,Generator,Longitude,-58.4033
ARG_Oil_ALUMINE70,Generator,Latitude,-39.2145
ARG_Oil_ALUMINE70,Generator,Longitude,-70.9157
ARG_Oil_BANDERA75,Generator,Latitude,-23.8219
ARG_Oil_BANDERA75,Generator,Longitude,-64.7847
ARG_Oil_BARILOCHEPUER76,Generator,Latitude,-41.1167
ARG_Oil_BARILOCHEPUER76,Generator,Longitude,-71.4167
ARG_Oil_BERNARDODEIR78,Generator,Latitude,-26.2545
